Place,Location,Area,Rooms,Air Conditioning,Built-in Wardrobes,Elevator,Heating,Garage,Terrace,Price
Piso,Moncloa,98,3,1,1,1,1,0,1,299000
Ático,Puente de Vallecas,124,3,1,1,1,1,0,1,354000
Piso,Centro,180,3,1,1,1,1,0,1,1290000
Piso,Carabanchel,59,2,0,0,1,0,0,0,123000
Piso,Chamartín,137,3,1,1,0,1,0,0,660000
Piso,Ciudad Lineal,90,3,0,1,1,1,0,1,255000
Piso,Salamanca,132,3,1,1,1,1,0,0,1300000
Piso,Chamberí,40,1,0,1,0,1,0,0,235000
Piso,Centro,66,2,0,1,1,1,0,0,483000
Piso,Salamanca,263,5,0,0,1,0,1,1,2300000
Piso,Ciudad Lineal,67,3,0,0,1,0,0,1,150000
Piso,Centro,130,4,0,0,1,1,0,0,650000
Piso,Moratalaz,100,4,0,0,0,1,0,1,215000
Piso,Centro,79,2,1,1,1,1,0,0,440500
Piso,Ciudad Lineal,64,1,1,1,0,1,0,1,205000
Piso,Centro,154,5,1,0,1,1,0,0,949000
Piso,Villaverde,109,3,0,1,1,1,1,1,253597
Piso,Usera,65,2,1,0,1,1,0,0,148000
Piso,Centro,129,3,0,1,1,1,0,0,750000
Piso,Arganzuela,50,1,1,1,1,1,0,0,262000
Piso,Puente de Vallecas,73,3,0,1,0,1,0,0,166000
Piso,Centro,100,3,1,0,1,1,0,0,789000
Piso,Centro,52,1,1,1,1,1,0,0,360000
Piso,Arganzuela,100,3,1,1,1,1,0,0,468000
Piso,Puente de Vallecas,50,1,0,1,0,0,0,0,149999
Piso,Centro,100,2,1,0,1,1,0,0,480000
Piso,Chamberí,99,1,1,1,0,1,0,0,750000
Piso,Chamartín,82,2,1,1,1,1,0,0,320000
Piso,Carabanchel,75,2,0,0,0,0,0,1,159000
Ático,Villa de Vallecas,171,3,1,1,1,1,1,1,410000
Piso,Tetuán,178,3,1,0,1,1,1,1,990000
Piso,Centro,110,3,1,1,1,0,0,0,829000
Piso,Salamanca,260,3,1,1,1,1,0,0,2200000
Piso,Ciudad Lineal,50,1,1,1,1,1,0,0,175000
Piso,Arganzuela,120,3,1,1,1,1,1,0,450000
Piso,Tetuán,127,3,1,1,1,1,0,0,950000
Piso,Latina,53,3,0,1,0,0,0,1,136500
Piso,Ciudad Lineal,115,3,0,0,1,1,1,0,343909
Piso,Centro,75,1,1,1,1,1,0,0,375000
Piso,San Blas,88,3,0,1,1,1,0,1,230000
Piso,Villa de Vallecas,79,3,0,0,0,0,0,1,155000
Piso,Centro,75,3,0,1,0,1,0,1,349724
Piso,Arganzuela,98,3,1,0,1,1,0,0,360000
Ático,Centro,75,1,1,1,1,1,0,1,775000
Piso,Centro,66,1,0,0,1,0,0,0,275000
Dúplex,Tetuán,112,3,1,1,0,1,0,0,360000
Dúplex,Salamanca,328,5,1,1,1,1,1,1,5000000
Piso,Villaverde,52,2,1,1,0,1,0,1,109000
Piso,Ciudad Lineal,73,2,1,1,1,1,1,0,247198
Piso,Salamanca,178,7,0,0,1,0,0,0,750000
Piso,Fuencarral,225,4,1,1,1,1,1,0,940000
Piso,Centro,24,1,0,0,1,1,0,0,130000
Piso,Centro,106,3,1,1,1,1,0,0,839000
Piso,Chamberí,96,3,1,0,1,1,0,0,799000
Piso,Moncloa,70,2,1,0,1,1,0,1,575500
Piso,Centro,104,3,1,1,1,1,0,0,890000
Piso,Centro,25,1,0,0,0,1,1,0,139000
Piso,Chamberí,121,3,1,1,1,0,0,0,570000
Piso,Tetuán,50,2,0,0,0,1,0,0,174900
Piso,Moncloa,192,4,1,1,1,1,1,1,832000
Piso,Salamanca,90,2,1,1,1,1,0,0,720000
Piso,Centro,90,3,0,0,0,1,0,0,430000
Piso,Ciudad Lineal,73,3,1,0,0,0,0,0,219000
Piso,Carabanchel,84,2,0,1,1,1,0,0,180000
Piso,Retiro,238,5,1,1,1,1,1,0,1690000
Piso,Tetuán,149,2,1,0,0,1,0,0,423273
Piso,Fuencarral,120,3,1,1,1,1,1,0,475000
Piso,Carabanchel,73,3,0,0,0,1,0,1,189000
Piso,Salamanca,105,2,1,1,1,0,0,0,1420000
Piso,Chamberí,109,2,1,1,1,1,0,0,899000
Piso,Tetuán,104,3,0,1,1,1,1,1,380000
Piso,Villaverde,52,2,1,1,0,1,0,0,134999
Piso,Puente de Vallecas,67,2,0,0,0,1,0,0,133000
Piso,Fuencarral,70,1,0,0,1,1,0,0,289900
Piso,Puente de Vallecas,58,2,0,0,0,0,0,1,125000
Ático,Chamberí,200,4,1,1,1,1,1,1,1249000
Piso,Chamartín,238,4,1,0,1,1,1,1,850000
Piso,Ciudad Lineal,67,1,1,1,1,0,1,1,320000
Piso,Fuencarral,70,2,0,1,1,0,0,1,254030
Piso,Centro,68,1,1,0,1,1,0,0,359000
Piso,Puente de Vallecas,74,1,1,1,1,1,0,0,175000
Piso,Salamanca,160,5,0,1,1,1,1,0,1490000
Piso,Retiro,96,3,1,1,1,1,0,1,519000
Piso,Tetuán,149,4,1,0,0,1,0,0,423273
Piso,Centro,109,2,1,0,1,1,0,0,899000
Piso,Chamartín,300,5,1,1,1,1,1,1,1520000
Piso,Arganzuela,44,1,1,0,1,1,0,0,239000
Ático,Fuencarral,160,4,1,1,1,1,1,1,795000
Piso,Latina,67,2,1,1,1,1,0,1,197999
Piso,Centro,307,8,0,1,1,1,0,0,1350000
Ático,Chamartín,120,1,1,1,1,1,0,1,580000
Piso,Barajas,111,3,0,1,1,1,1,1,402500
Piso,Arganzuela,125,3,1,1,1,1,1,0,629000
Piso,Chamberí,244,5,0,1,1,1,1,1,1200000
Piso,Salamanca,224,5,1,1,1,1,1,1,1195000
Piso,San Blas,50,2,1,1,1,1,0,0,160000
Ático,Salamanca,150,3,1,1,1,1,0,1,995000
Piso,Ciudad Lineal,118,3,0,0,1,1,1,1,299000
Piso,Centro,112,3,1,1,1,0,0,0,959000
Piso,Vicálvaro,53,1,0,1,1,0,0,0,168046
Piso,Retiro,330,5,0,1,1,0,0,1,2450000
Piso,Tetuán,177,4,1,1,1,1,1,1,950000
Piso,Chamberí,428,5,1,1,1,1,1,1,2550000
Piso,Puente de Vallecas,55,3,1,1,0,0,0,1,143500
Piso,Latina,175,2,1,1,0,1,0,1,410000
Piso,Moncloa,176,4,1,0,1,1,1,1,960000
Piso,Salamanca,128,3,1,0,1,1,0,0,795000
Piso,Chamberí,439,5,1,1,1,1,0,0,1988000
Piso,Carabanchel,58,2,0,0,1,0,0,0,119406
Piso,Chamartín,65,1,1,1,1,0,0,0,440000
Piso,Salamanca,146,3,0,1,1,1,0,0,1050000
Piso,Ciudad Lineal,89,2,1,1,1,0,1,0,320000
Piso,Centro,118,2,1,1,1,1,0,0,889000
Piso,Salamanca,137,3,0,0,0,0,0,1,602000
Piso,Centro,88,2,1,0,1,1,0,0,550000
Piso,Moncloa,187,4,1,1,1,1,0,1,1600000
Piso,Salamanca,160,3,1,1,1,0,0,0,1780000
Piso,Ciudad Lineal,80,3,0,0,1,1,0,0,195000
Dúplex,Tetuán,114,3,1,1,1,1,1,1,455000
Piso,Centro,180,2,1,1,1,0,0,1,1650000
Piso,Centro,35,1,1,1,1,0,0,0,205000
Piso,Tetuán,75,3,1,1,1,1,0,0,515000
Piso,Salamanca,309,4,1,1,1,1,0,0,3990000
Piso,Hortaleza,156,4,0,1,1,1,1,1,420000
Ático,Arganzuela,92,2,1,1,1,1,1,1,535000
Piso,Puente de Vallecas,48,2,0,0,0,1,0,1,119000
Piso,Centro,106,2,1,0,1,1,0,1,635000
Estudio,Moncloa,40,1,1,1,1,1,0,0,358000
Piso,Salamanca,75,2,1,1,1,1,1,1,995000
Piso,Arganzuela,48,2,0,1,1,0,0,0,259000
Piso,Villa de Vallecas,57,2,1,0,0,1,0,1,125000
Piso,Ciudad Lineal,115,2,1,1,1,1,0,0,375000
Piso,Ciudad Lineal,79,4,0,1,0,1,0,1,151050
Piso,Ciudad Lineal,163,4,0,1,1,1,1,1,800000
Piso,Chamberí,215,6,0,0,1,1,0,1,1490000
Piso,Chamberí,127,2,0,1,1,1,0,0,875000
Piso,Salamanca,148,3,1,1,1,1,0,0,1290000
Piso,Carabanchel,88,3,0,0,1,1,0,1,310000
Piso,Tetuán,60,2,1,0,0,0,0,0,585000
Piso,Carabanchel,56,2,0,0,0,1,0,1,140000
Piso,San Blas,88,2,1,1,1,1,1,0,320000
Piso,Salamanca,102,3,1,1,1,1,0,0,889000
Piso,Latina,55,1,1,1,0,1,0,0,155000
Piso,Ciudad Lineal,71,2,1,0,0,1,0,1,219000
Piso,Salamanca,85,3,0,1,0,0,0,0,535000
Piso,Centro,150,3,1,1,1,0,0,0,730000
Piso,Chamberí,78,2,0,1,0,0,0,0,360000
Piso,Puente de Vallecas,104,3,1,1,1,1,0,1,210000
Piso,Retiro,130,3,1,1,1,1,1,0,595000
Piso,Centro,223,3,1,0,1,1,0,0,1800000
Piso,Arganzuela,47,1,0,1,1,1,1,0,315000
Piso,Chamartín,117,2,1,1,1,1,1,1,515000
Piso,Salamanca,400,5,0,1,1,0,0,0,3900000
Piso,Centro,99,2,1,1,1,1,0,0,889000
Piso,Barajas,27,1,0,0,1,1,0,1,93200
Ático,Arganzuela,61,2,1,1,1,1,0,1,335000
Piso,Usera,80,3,1,0,0,1,0,1,176000
Piso,Tetuán,151,3,1,0,1,1,0,1,770000
Piso,Fuencarral,125,3,1,0,1,0,1,0,455000
Piso,Chamberí,134,3,1,1,1,1,0,0,1199000
Piso,Moncloa,85,2,1,1,1,1,0,0,565000
Piso,Carabanchel,115,3,1,1,1,1,1,0,455000
Piso,Moncloa,96,2,1,1,1,1,1,1,490000
Piso,Puente de Vallecas,56,3,0,0,1,0,0,0,80000
Piso,Chamartín,133,1,1,1,1,1,0,0,345000
Piso,Centro,220,4,0,0,1,1,0,0,829000
Piso,Arganzuela,144,3,0,0,0,0,0,1,415000
Piso,Puente de Vallecas,120,3,1,1,0,1,0,1,204900
Piso,Salamanca,70,2,1,0,1,1,0,0,619000
Piso,Centro,99,3,1,0,1,1,0,0,859000
Piso,Moncloa,182,5,0,1,1,1,1,1,975000
Piso,Villa de Vallecas,106,3,1,1,1,1,0,1,295000
Piso,Ciudad Lineal,58,2,0,1,0,0,0,0,173200
Piso,Salamanca,151,3,1,1,1,1,0,0,1019000
Piso,Vicálvaro,185,4,0,1,1,0,1,1,418000
Piso,Retiro,169,3,0,1,1,1,0,1,725000
Piso,Ciudad Lineal,145,4,0,1,1,1,0,1,330000
Piso,San Blas,85,2,1,1,1,1,1,0,289000
Piso,Villaverde,72,2,1,1,1,1,1,1,229000
Piso,Latina,60,2,1,1,1,1,0,0,151000
Piso,Tetuán,70,2,1,1,1,1,1,0,385000
Piso,Puente de Vallecas,56,2,1,0,0,1,0,0,135000
Piso,Vicálvaro,68,3,0,0,0,0,0,1,154500
Piso,Ciudad Lineal,81,3,0,1,1,1,0,0,264000
Piso,Tetuán,179,4,1,1,1,1,0,0,699000
Piso,Usera,125,2,0,1,1,1,1,1,435000
Piso,Arganzuela,105,3,0,1,1,1,1,0,570000
Piso,Centro,30,1,1,1,1,1,0,0,243000
Piso,Chamartín,44,1,1,1,0,1,0,0,245000
Piso,Centro,252,8,0,1,0,0,0,0,899000
Piso,Chamartín,250,4,1,1,1,1,0,0,1175000
Piso,Fuencarral,104,4,0,1,1,0,0,1,350000
Piso,Ciudad Lineal,70,3,0,1,0,1,0,1,140800
Piso,Tetuán,102,1,0,1,1,0,1,0,197600
Piso,Villaverde,61,1,1,0,1,0,0,0,118000
Piso,Carabanchel,107,3,1,1,1,1,1,0,240000
Piso,Hortaleza,75,1,1,1,1,1,0,1,320000
Piso,Salamanca,87,3,1,1,1,0,1,1,498000
Piso,Salamanca,170,4,0,1,1,1,0,1,1110000
Piso,Salamanca,163,3,1,1,1,1,0,0,1490000
Piso,Ciudad Lineal,189,3,1,1,1,1,1,0,970000
Piso,Tetuán,66,1,1,0,0,0,0,0,273000
Piso,Centro,59,2,1,1,0,1,0,0,395000
Ático,Tetuán,231,5,0,0,1,0,0,1,925000
Piso,Villa de Vallecas,65,3,0,0,0,0,0,0,139000
Piso,Chamberí,83,3,0,0,1,0,0,0,580000
Piso,Centro,47,1,0,1,0,1,0,0,300000
Piso,Villa de Vallecas,59,1,1,1,1,1,0,0,165000
Piso,Hortaleza,70,2,0,1,1,1,1,1,399000
Piso,Centro,41,1,0,1,1,1,0,0,230000
Piso,Centro,30,1,1,1,1,1,0,0,220000
Dúplex,Tetuán,261,6,1,1,1,1,1,1,1295000
Piso,Centro,76,2,1,1,0,1,0,0,395000
Piso,Usera,109,3,1,1,0,1,0,1,174500
Piso,Hortaleza,117,2,1,1,1,1,1,1,545000
Piso,Ciudad Lineal,91,3,1,1,1,1,0,1,299000
Dúplex,Carabanchel,64,2,1,1,1,1,0,0,235000
Piso,Centro,83,2,1,1,1,0,0,1,580000
Piso,Carabanchel,138,4,1,1,1,1,1,0,399000
Dúplex,Barajas,64,2,0,0,0,0,0,0,212200
Piso,Salamanca,430,5,1,1,1,1,0,0,4510000
Piso,Retiro,86,1,0,1,1,1,1,0,430000
Piso,Moncloa,69,3,0,1,0,1,0,0,165000
Piso,Salamanca,83,2,1,1,1,1,0,0,849000
Piso,Salamanca,126,2,0,0,1,0,0,0,1295000
Piso,Puente de Vallecas,103,3,1,1,1,1,0,1,191050
Piso,Villaverde,71,3,0,0,1,0,0,0,95000
Piso,San Blas,127,3,1,1,1,1,1,0,460000
Piso,Chamartín,95,3,1,1,1,1,0,1,585000
Piso,Carabanchel,102,3,0,0,1,0,0,1,189000
Piso,Salamanca,83,2,1,1,1,1,1,0,849000
Piso,Centro,83,2,0,0,1,1,0,1,429000
Piso,Vicálvaro,112,2,1,0,0,0,0,0,383000
Piso,Centro,91,2,0,0,1,1,0,0,819000
Piso,Centro,45,1,0,1,1,0,0,0,220000
Piso,Retiro,98,3,1,1,1,0,1,1,385000
Piso,Salamanca,210,4,1,1,1,1,1,1,1200000
Piso,Centro,60,1,0,0,1,1,0,1,270000
Piso,Chamberí,225,4,0,1,1,1,1,0,2480000
Piso,Centro,104,5,0,0,1,0,0,1,454100
Piso,Salamanca,150,3,0,1,1,1,0,1,720000
Piso,Arganzuela,88,3,1,1,1,1,0,0,460000
Piso,Centro,185,2,1,1,1,1,1,0,550000
Piso,Chamartín,56,2,0,0,1,0,0,0,850000
Piso,Arganzuela,50,2,1,0,0,1,0,0,190000
Piso,Centro,130,3,1,1,1,0,0,0,780000
Piso,Retiro,254,3,1,1,1,1,0,0,3050000
Piso,Tetuán,65,2,0,1,0,1,0,0,209995
Piso,Ciudad Lineal,87,3,0,0,1,0,0,1,224900
Piso,Villa de Vallecas,49,1,0,1,1,1,0,0,132000
Piso,Latina,74,2,0,0,1,0,0,0,136500
Piso,Latina,67,2,1,0,1,1,0,0,195000
Piso,Carabanchel,66,2,1,0,0,1,0,0,139900
Piso,Centro,35,1,0,0,0,1,0,0,166000
Piso,Usera,64,3,0,0,0,0,0,0,155500
Piso,San Blas,78,3,0,1,1,1,0,0,255000
Piso,Salamanca,184,4,1,1,1,1,0,1,1650000
Piso,Salamanca,88,2,1,0,1,1,0,0,849000
Piso,Centro,40,1,1,0,0,1,0,0,205000
Piso,Salamanca,241,4,1,1,1,1,0,1,2400000
Piso,Salamanca,49,2,1,1,1,1,0,0,310000
Piso,Chamberí,140,3,1,1,1,1,0,0,939000
Piso,Hortaleza,48,2,0,1,0,1,0,1,166600
Piso,Barajas,103,3,1,0,1,0,0,1,409000
Piso,Hortaleza,152,3,1,1,1,1,1,0,510000
Piso,Chamartín,190,4,1,1,1,1,1,1,1600000
Piso,Chamberí,123,3,1,1,1,1,1,0,600000
Piso,Villaverde,61,2,0,0,0,0,0,1,90500
Piso,Ciudad Lineal,58,1,0,0,0,0,0,0,119800
Piso,Centro,64,2,1,0,0,0,0,0,352000
